们,17,61,5,4,47,1,7,10,6,15,56
们,19,61,4,4,48,1,8,10,3,17,54
们,20,61,3,5,48,1,7,10,4,17,54
则,1,1,1,23,42,6,4,21,1,11,54
州,19,59,1,6,16,4,17,56,3,7,59
州,19,59,1,7,16,3,18,56,3,7,59
州,19,59,2,6,16,4,17,56,3,7,59
州,19,60,1,7,16,3,18,57,3,7,60
忙,5,18,4,4,61,3,6,10,3,32,58
忙,6,18,4,3,61,3,6,10,3,33,58
忙,7,22,3,4,59,2,7,16,1,34,58
忙,8,22,2,4,59,3,6,16,2,34,58
忙,8,22,2,4,59,3,7,16,1,34,58
忤,7,19,2,5,60,2,7,13,1,34,59
忤,7,19,3,4,60,3,6,13,1,35,59
怍,6,16,3,5,59,1,6,11,3,34,60
怕,5,16,4,5,57,2,7,12,2,28,58
怕,5,17,5,3,62,4,7,11,3,28,62
怕,5,17,5,4,62,3,7,11,4,27,62
怕,6,19,4,5,60,3,5,13,4,30,60
怕,7,17,4,3,65,3,8,14,3,33,65
怕,7,18,3,5,61,2,8,13,2,28,61
怕,7,18,3,5,61,3,7,13,2,28,61
怕,7,18,4,4,61,3,7,13,2,28,61
怕,7,18,4,5,61,2,7,13,2,28,61
怕,7,19,3,5,60,3,5,13,4,30,60
怕,7,19,4,4,60,3,6,13,4,29,60
怕,7,19,5,5,63,3,7,13,3,31,63
怕,7,19,5,5,64,3,7,13,3,31,64
怕,7,20,4,4,60,3,6,13,4,30,60
怕,7,20,4,5,60,2,6,13,4,30,60
怕,8,18,2,6,57,1,8,12,1,28,57
怕,8,18,3,4,67,2,9,15,2,34,67
怕,8,18,3,5,61,2,7,13,2,29,61
怕,8,20,4,6,65,2,8,14,2,32,65
性,4,16,5,4,60,3,6,8,1,37,59
性,5,16,5,3,60,4,5,9,1,37,59
性,8,20,2,4,60,3,5,11,1,37,58
恨,5,15,5,4,61,3,5,10,3,33,59
恨,5,15,6,4,61,2,6,10,2,34,59
恨,5,18,4,5,61,1,7,12,1,33,58
悄,7,17,3,3,65,2,8,14,2,37,65
悄,7,17,3,5,64,2,6,11,2,35,64
悄,8,18,2,4,67,1,9,15,1,38,67
悄,8,18,2,6,65,1,7,12,1,36,65
悟,4,16,4,4,61,3,5,11,1,36,60
悭,4,14,4,3,61,3,5,11,1,40,59
情,5,17,4,3,63,4,4,8,3,36,64
情,6,17,4,3,63,3,4,8,4,36,64
惜,4,15,5,3,62,3,6,8,2,36,62
惜,5,15,4,4,62,3,5,8,3,36,62
惯,5,13,3,3,61,3,5,10,1,39,59
惻,8,18,2,3,65,3,29,59,5,12,63
惻,9,19,1,4,67,2,30,60,4,13,64
慘,5,16,3,2,62,2,4,11,3,41,65
慘,5,16,3,3,62,2,4,11,2,41,65
慚,4,16,3,2,63,2,4,8,2,43,63
慚,5,16,2,3,63,1,5,8,1,44,63
慢,4,14,5,3,61,3,5,9,1,37,60
慢,6,19,3,4,60,2,5,10,1,38,59
慢,7,19,2,5,60,2,5,10,1,37,59
慨,3,16,5,3,62,2,4,6,1,42,59
慨,4,16,4,4,62,1,4,6,1,43,59
慳,5,16,3,2,62,3,4,13,1,42,56
慳,5,16,3,3,62,2,4,13,1,43,56
憎,5,16,4,3,62,3,5,10,3,35,62
憎,6,18,2,5,61,1,6,10,2,33,61
憎,6,18,3,5,61,1,6,10,1,34,61
憎,7,19,2,5,60,1,5,10,2,35,59
憎,8,19,2,4,60,2,5,10,2,35,59
憐,5,16,3,2,62,3,4,9,1,42,64
懶,4,16,3,2,62,3,25,62,1,22,63
懶,5,16,3,2,62,2,26,62,1,22,63
瞓,14,52,5,21,62,5,2,50,6,2,59
瞓,14,53,3,24,58,3,4,50,4,4,59
瞓,14,53,3,25,58,3,3,50,5,4,59
瞓,14,54,3,24,58,3,4,50,4,4,59
瞓,14,54,3,24,58,3,4,50,4,5,59
瞓,14,54,3,25,58,2,4,50,4,5,59
瞓,14,54,3,25,58,3,4,50,4,4,59
瞓,15,52,4,22,63,5,2,50,5,3,59
瞓,15,57,4,26,62,5,3,52,6,2,63
瞓,16,58,3,27,63,4,4,53,5,3,64
脷,19,57,2,22,58,3,3,36,1,8,58
順,7,53,5,3,45,5,3,61,4,32,60
順,7,54,5,2,45,6,2,61,5,31,60
順,9,57,3,5,40,3,4,59,4,31,59
順,9,57,4,4,40,4,4,59,3,31,59
順,10,55,3,5,49,4,4,56,3,31,58
順,10,57,3,4,40,4,4,59,3,32,59
顺,7,35,4,3,22,4,4,43,2,25,53
顺,7,58,6,3,44,5,4,55,5,29,60
顺,8,58,5,3,44,6,3,55,5,30,60
顺,9,53,4,4,37,3,5,56,2,30,55
顺,9,57,3,4,40,5,4,60,3,30,57
顺,9,57,4,4,40,4,4,60,3,31,58
顺,9,60,4,5,42,5,5,63,3,33,61
顺,9,60,4,5,42,5,5,63,3,33,62
顺,10,61,3,6,43,4,6,64,2,34,63
